epoch,zero,last_frame,SGEDConvLSTM
0,0.26344053,0.284679371,0.276227637
1,0.278021977,0.291673512,0.286541257
2,0.281272951,0.292235887,0.289502266
3,0.287666023,0.294321464,0.291926129
4,0.286072442,0.297843808,0.295706237
5,0.285916715,0.298375661,0.296912905
6,0.289487655,0.300433628,0.299106447
7,0.291689024,0.301998686,0.300153936
8,0.293927249,0.301326814,0.302275215
9,0.296257398,0.302136997,0.305151299
10,0.297544087,0.303690428,0.304361302
11,0.298140161,0.304917793,0.304909146
12,0.298521289,0.304562074,0.306385807
13,0.298908267,0.305275802,0.307309017
14,0.300235436,0.306108599,0.307469056
15,0.301725579,0.307410569,0.307857939
16,0.302448025,0.307001272,0.308049474
17,0.303481803,0.30841342,0.308791727
18,0.304485189,0.308130478,0.307973217
19,0.305404492,0.308577274,0.309728259
20,0.305492425,0.309130947,0.310839509
21,0.306830811,0.309560908,0.311611207
22,0.307634715,0.310217788,0.312157105
23,0.307197685,0.309889173,0.312109936
24,0.30794268,0.310775874,0.312896246
25,0.308756863,0.310998517,0.312848793
26,0.308240752,0.311549272,0.312991582
27,0.308947182,0.311612612,0.313119623
28,0.308902763,0.311531218,0.313541467
29,0.309926943,0.31220289,0.313634151
30,0.310696985,0.312446135,0.314136578
31,0.310702704,0.312677534,0.313768741
32,0.310843741,0.312666326,0.313860742
33,0.310880136,0.312632636,0.31413345
34,0.311017993,0.312960332,0.314277348
35,0.31157485,0.313015952,0.314595859
36,0.311735763,0.313244947,0.315058113
37,0.311909325,,0.315028201
38,0.311918512,,0.315452747
39,0.312087632,,0.315455447
40,0.311962967,,0.314816139
41,0.311698842,,0.315907124
42,0.312499461,,0.315532765
,,,0.315768378
,,,0.315996767
,,,0.315586093
,,,0.315731432
,,,0.315290325
,,,0.314425878
,,,0.314518995
,,,0.314221505
,,,0.315870872
,,,0.315282184
,,,0.313753766
,,,0.315200286
,,,0.315104941
