epoch,zero - epoch_validation_emd,last-frame - epoch_validation_emd,SGEDConvLSTM - epoch_validation_emd
0,0.204678159,0.2269949,0.21892193
1,0.217559303,0.233728901,0.228960584
2,0.219719966,0.234349131,0.229419059
3,0.226479333,0.236508853,0.231387575
4,0.224139366,0.239860781,0.235302127
5,0.225586764,0.24024599,0.236208916
6,0.229408955,0.24219132,0.238258893
7,0.231828479,0.243208099,0.239076863
8,0.23381574,0.242403391,0.241463527
9,0.235710132,0.242918763,0.244260859
10,0.237011775,0.244537467,0.243136788
11,0.237593135,0.2451558,0.243233221
12,0.238322988,0.245133363,0.244300807
13,0.238956542,0.246079503,0.245171506
14,0.240465816,0.246294394,0.245014931
15,0.241363391,0.247319462,0.245116748
16,0.24191861,0.247450394,0.245260461
17,0.243236487,0.248138332,0.246336111
18,0.244016398,0.24787573,0.244791294
19,0.2444132,0.248361299,0.246587241
20,0.244004592,0.248722901,0.247917527
21,0.245991071,0.249091491,0.248719736
22,0.246631904,0.249623307,0.249263848
23,0.24625539,0.249511833,0.248911488
24,0.246832513,0.250058193,0.249873725
25,0.247399998,0.250239619,0.249590256
26,0.246871254,0.250656791,0.24963816
27,0.247023009,0.250637231,0.249731131
28,0.247586288,0.250633358,0.250424741
29,0.248310437,0.25105881,0.250369337
30,0.248940951,0.251286679,0.250682078
31,0.248618923,0.251435881,0.250464553
32,0.248885215,0.251531128,0.250369248
33,0.24858652,0.251427047,0.25047339
34,0.248896562,0.251558147,0.250801024
35,0.249204987,0.25199979,0.251158315
36,0.249164099,0.25208766,0.25154689
37,0.249525521,,0.251668409
38,0.2497721,,0.251903673
39,0.249729849,,0.252204676
40,0.249575305,,0.2513056
41,0.249308449,,0.252581521
42,0.25030206,,0.252379735
43,,,0.252777224
44,,,0.252806735
45,,,0.252506506
46,,,0.252623748
47,,,0.252046082
48,,,0.250583937
49,,,0.250943733
50,,,0.250183564
51,,,0.252472814
52,,,0.251688094
53,,,0.249770046
54,,,0.2514724
55,,,0.251682354
