epoch,zero - epoch_validation_mad,last-frame - epoch_validation_mad,SGEDConvLSTM - epoch_validation_mad
0,0.236864513,0.244790429,0.240345291
1,0.241489312,0.247706816,0.24372217
2,0.243058778,0.247753085,0.24603572
3,0.245524505,0.248232258,0.247639175
4,0.244155808,0.24957641,0.249312033
5,0.242550323,0.24925817,0.249754097
6,0.243672107,0.24992514,0.250473971
7,0.244328561,0.25085792,0.250982062
8,0.245484486,0.250541437,0.25176178
9,0.246888209,0.250822177,0.252856066
10,0.247471281,0.251538336,0.252560132
11,0.247699501,0.252249133,0.253067758
12,0.247505369,0.251856911,0.253840285
13,0.247286712,0.25205604,0.254398227
14,0.247958501,0.252844275,0.254595747
15,0.249000835,0.25383517,0.254771833
16,0.249188955,0.253255883,0.254794829
17,0.249636823,0.25413145,0.254814541
18,0.250345053,0.25394845,0.254934369
19,0.25106361,0.254101907,0.2556096
20,0.251499669,0.254408233,0.2561325
21,0.251866618,0.254682303,0.256276856
22,0.252544281,0.255150267,0.256437855
23,0.252177369,0.254664494,0.256820856
24,0.252952958,0.255187772,0.256931381
25,0.253402983,0.255304429,0.257019458
26,0.253098791,0.255508596,0.25709865
27,0.253936851,0.255504698,0.257263693
28,0.253278794,0.255663153,0.257372653
29,0.254033332,0.255906408,0.257526138
30,0.254502819,0.255995069,0.257853571
31,0.254757569,0.256152423,0.257629236
32,0.254730026,0.256070285,0.257811747
33,0.254972863,0.256049795,0.258007755
34,0.255028635,0.256251912,0.257902751
35,0.255367585,0.256024551,0.257985728
36,0.255427583,0.256197309,0.258296711
37,0.255347234,,0.258086193
38,0.255197066,,0.258402949
39,0.255350087,,0.258244401
40,0.255231507,,0.258162688
41,0.254991342,,0.258518462
42,0.255431516,,0.258149058
43,,,0.258132425
44,,,0.258354028
45,,,0.258028249
46,,,0.258098738
47,,,0.258006632
48,,,0.257732895
49,,,0.25760798
50,,,0.257590858
51,,,0.258315752
52,,,0.258020734
53,,,0.257433595
54,,,0.258112689
55,,,0.257843335
