epoch,zero - epoch_validation_ssim,last-frame - epoch_validation_ssim,SGEDConvLSTM - epoch_validation_ssim
0,0.332050067,0.402914496,0.385404155
1,0.389224244,0.426046594,0.414658607
2,0.40343647,0.432016012,0.431430418
3,0.423824536,0.441028317,0.442326017
4,0.419967242,0.449746758,0.452531419
5,0.416599627,0.45146461,0.456752848
6,0.426536429,0.457813614,0.463623426
7,0.433822725,0.462999911,0.467011682
8,0.442019812,0.46145386,0.4726451
9,0.450269337,0.463863117,0.480199881
10,0.453633696,0.4684873,0.480053571
11,0.455987928,0.4728988,0.483505743
12,0.457003864,0.471503091,0.487812126
13,0.457812685,0.473387648,0.490773635
14,0.462126022,0.477697747,0.492735824
15,0.467950673,0.482182268,0.49454299
16,0.470655709,0.480447923,0.495071639
17,0.473993861,0.485485222,0.497507381
18,0.477525029,0.48575761,0.497575119
19,0.481672158,0.486949833,0.502431504
20,0.483564184,0.48932145,0.504552744
21,0.48743181,0.490565217,0.507473089
22,0.490733672,0.493235152,0.508785729
23,0.489222214,0.491810229,0.50885575
24,0.49129623,0.495444219,0.511538051
25,0.495130391,0.496141816,0.51113035
26,0.493297447,0.498066909,0.512288529
27,0.49686325,0.498596567,0.513343642
28,0.495527291,0.498909003,0.513671678
29,0.499715646,0.501173117,0.514410087
30,0.502047073,0.502172693,0.516106356
31,0.502941264,0.503027181,0.515230083
32,0.502928333,0.502829796,0.515851473
33,0.504176391,0.503035211,0.517284132
34,0.503918276,0.50417512,0.51758406
35,0.506117746,0.503681292,0.518536095
36,0.507673596,0.504616643,0.519790574
37,0.507671137,,0.519433078
38,0.507009508,,0.520391541
39,0.507694748,,0.520367184
40,0.507363599,,0.519915374
41,0.506851285,,0.522080797
42,0.50903808,,0.521180913
43,,,0.52171378
44,,,0.521720587
45,,,0.52088484
46,,,0.521285142
47,,,0.520327522
48,,,0.520441519
49,,,0.518900508
50,,,0.519208638
51,,,0.521969838
52,,,0.520239842
53,,,0.516621463
54,,,0.520849896
55,,,0.519792868
