"2017-01-01","2017-01-09","2017-01-17","2017-01-25","2017-02-02","2017-02-10","2017-02-18","2017-02-26","2017-03-06","2017-03-14","2017-03-22","2017-03-30","2017-04-07","2017-04-15","2017-04-23","2017-05-01","2017-05-09","2017-05-17","2017-05-25","2017-06-02","2017-06-10","2017-06-18","2017-06-26","2017-07-04","2017-07-12","2017-07-20","2017-07-28","2017-08-05","2017-08-13","2017-08-21","2017-08-29","2017-09-06","2017-09-14","2017-09-22","2017-09-30","2017-10-08","2017-10-16","2017-10-24","2017-11-01","2017-11-09","2017-11-17","2017-11-25","2017-12-03","2017-12-11","2017-12-19","2017-12-27","2018-01-01","2018-01-09","2018-01-17","2018-01-25","2018-02-02","2018-02-10","2018-02-18","2018-02-26","2018-03-06","2018-03-14","2018-03-22","2018-03-30","2018-04-07","2018-04-15","2018-04-23","2018-05-01","2018-05-09","2018-05-17","2018-05-25","2018-06-02","2018-06-26","2018-07-04","2018-07-12","2018-07-20","2018-07-28","2018-08-05","2018-08-13","2018-08-21","2018-08-29","2018-09-06","2018-09-22","2018-09-30","2018-10-08","2018-10-16","2018-10-24","2018-11-01","2018-11-09","2018-11-17","2018-11-25","2018-12-03","2018-12-11","2018-12-19","2018-12-27","2019-01-01"
6173,119,172,6030,4715,4715,4528,4528,5730,5730,7054,7932,7932,7304,7304,6509,6509,7055,7055,7793,7004,7004,6879,5087,5087,5823,5823,6107,6107,5523,5523,4579,4579,4342,6785,6785,6225,5720,6370,6370,6574,6574,6546,6628,6628,6234,6234,6234,2178,1574,6377,6154,6154,5913,6108,3885,6164,5444,5444,7903,9151,9151,9143,9143,7988,7988,3920,3201,3496,3496,2694,3032,2742,3745,3745,3314,3250,3250,4665,7379,7379,7413,7413,7306,7306,7475,3926,7167,7167,5868
6376,64,209,5255,4693,4693,3480,3480,3939,3778,3778,6098,6194,4396,4396,4842,4842,6176,6176,3416,7549,7549,6879,7640,7640,6758,6758,6935,6935,8115,8076,6255,6255,6213,7580,7580,6955,3906,6454,6454,5752,5752,5399,6505,6505,5402,5402,5402,2444,960,4791,5581,5581,4165,5471,4127,5757,5651,5651,8648,9150,9150,9181,9181,8035,8035,4085,3070,3333,3333,2629,2762,2677,2315,2221,2221,3997,3997,5988,7379,7379,7799,7799,7618,7345,7541,4832,7763,7763,7352
5985,30,30,4646,4326,4326,4841,4841,3939,6147,6147,4125,5178,5178,3035,3816,5338,5338,3966,3740,7238,7238,7773,7231,7231,7026,7026,6607,6607,5354,5354,6215,6215,5760,7533,7533,7098,5584,6528,6528,5448,6594,6594,5410,5410,3678,3678,3678,3197,901,4471,5971,5971,3650,5866,4587,5757,5345,5345,7345,8769,8769,9030,9030,8356,7476,4214,3756,3688,3155,3046,3974,2512,2528,2481,2481,3849,3849,5230,6100,6100,7940,7940,7780,6677,7648,4568,7051,7051,7318
5777,-278,42,3817,4674,4674,5261,5261,4212,6147,6147,7107,6894,6894,6826,6893,7278,7278,6607,8422,7807,7807,5094,6731,6731,5944,5944,2425,2425,4409,4409,3070,3070,5450,6763,6763,7093,6969,6255,6255,7775,6609,6609,7094,7094,6139,6139,6139,2586,1251,5658,6409,6409,6235,6302,4912,5307,6137,6137,8722,8302,8574,8574,8916,7467,7467,4788,3726,3726,3656,4335,4335,5192,4080,3366,3339,2583,2583,4796,6114,6114,6781,6781,6085,5734,6786,4462,6647,6647,5635
5117,-266,-18,3292,4562,4562,4547,4547,4341,4646,4646,7505,6207,6207,7510,6842,7539,7764,7764,8462,8462,7598,5751,5105,5105,4565,4565,6068,6068,4850,4850,7293,7293,6987,7964,7964,7235,5516,6709,6709,6876,6623,6623,7176,7176,5730,5730,5730,3004,1129,4818,5442,5442,5696,6141,3855,6198,5026,5026,8015,7757,7004,7177,7177,6802,6802,5676,4891,4488,4315,4347,4347,4175,4332,5104,5104,4147,4450,4450,6488,7193,7193,6919,6282,5855,6824,5346,7284,7284,5807
6214,228,267,5586,5272,5272,5784,5784,6675,6829,6829,7882,8465,7301,7301,6799,8110,8110,7453,7316,7579,7579,6545,6545,6066,6096,6096,5088,5088,6741,7301,5774,6118,6118,7401,7401,6504,4896,4896,6680,7304,6307,6307,6507,6507,6386,6386,6386,2325,1489,6023,6023,6154,6389,5591,4410,5916,6697,6697,8632,7690,7690,8419,8419,6957,6957,5208,5004,5004,4966,4966,4220,4247,4247,4692,4692,5066,5066,5226,6512,5853,6509,7225,7225,6176,6176,3357,7532,7532,5760
6412,159,159,5687,5068,5068,5325,5325,5719,7056,7056,7417,7776,8104,8104,6625,6625,6268,6217,8290,7234,7234,5609,4534,4534,4882,4882,5614,5614,6650,7458,3736,3736,3895,5266,5266,5155,4896,4896,6454,6686,6685,6685,7134,7134,6427,6427,6427,5601,961,5718,5718,6375,5895,6435,4549,6977,6540,6540,8926,9077,9077,9089,1119,1119,8320,3836,3359,3359,3426,3426,3551,3584,2666,3422,3422,2842,2842,3650,5971,5971,6492,6977,6977,6901,7254,4110,7509,7509,7429
6392,93,93,5851,5164,5164,4549,4549,5938,7009,7009,7960,6662,6662,8087,7241,7241,7981,7981,8160,7538,7538,5358,4024,4024,3421,3421,4396,4396,6531,6277,3832,3832,3123,6599,6599,4665,4771,6904,6904,6681,5754,5754,7080,7080,6106,6106,6106,6365,773,6129,6340,6340,5823,5926,4672,6513,6173,6173,8581,8974,8974,8700,8700,2441,7060,4687,4454,4454,4128,3495,2872,3165,3431,3199,3199,2238,2238,6035,6100,6100,6313,6313,6964,6489,6489,3943,7475,7475,6486
5921,24,24,5825,4747,4747,4908,4908,4602,6314,6314,7340,8435,8133,8133,7241,7400,8203,8203,8246,7437,7437,5079,4024,4024,3213,3213,2843,2843,5221,5221,3308,3308,3123,5556,5556,7184,5892,5892,5622,6460,7155,7155,7750,7750,6567,6567,6567,3944,1128,6470,6801,6801,6320,6206,4594,6642,6517,6517,8835,8915,8117,8633,8633,7873,7873,4178,3291,3003,2927,2613,2395,3705,3625,4235,4235,2114,2114,2297,6100,6100,5461,5461,5519,5718,5718,3404,6247,6247,5172
4319,-265,-91,2910,2835,2835,3506,3506,3966,5369,5369,5779,6292,6292,7744,8509,8509,8601,8601,8528,8528,7709,4607,4607,3381,4565,4565,2325,2325,2444,2444,3563,3563,5916,8197,8197,7903,7870,7870,6680,8172,7273,7273,7901,7901,6338,6338,6338,4716,1094,1094,6441,6441,6011,6206,4845,6765,6967,6967,7286,7286,6690,7696,7696,7571,7571,4364,2949,3481,3481,2619,4565,4175,5455,7052,7052,3245,3245,2691,5847,5565,5565,4506,5758,5758,4965,3412,5715,5715,5195
